fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2015-01-01,2462,PUERTO DE NAVACERRADA,MADRID,1893,"4,2","0,0","0,0",06:10,"8,4",12:50,03,"1,9","10,3",01:30,"8,2","826,6",Varias,"822,5",02,30,37,15:50,17,12:50
2015-01-02,2462,PUERTO DE NAVACERRADA,MADRID,1893,"7,0","0,0","2,1",Varias,"11,8",13:00,99,"1,9","5,0",Varias,"6,1","828,9",23,"826,0",Varias,19,45,16:50,13,05:00
2015-01-03,2462,PUERTO DE NAVACERRADA,MADRID,1893,"7,6","0,0","5,0",07:40,"10,1",11:20,33,"2,5","5,8",14:30,"8,2","829,2",10,"827,2",24,20,33,16:40,17,Varias
2015-01-04,2462,PUERTO DE NAVACERRADA,MADRID,1893,"9,2","0,0","5,3",00:00,"13,0",12:10,16,"1,9","6,7",20:30,"8,2","827,2",00,"823,0",24,35,44,03:10,12,08:20
2015-01-05,2462,PUERTO DE NAVACERRADA,MADRID,1893,"6,4","0,0","1,1",23:50,"11,8",11:40,99,"1,9","6,1",Varias,"8,2","823,0",00,"817,9",24,34,65,23:30,17,07:00
2015-01-06,2462,PUERTO DE NAVACERRADA,MADRID,1893,"2,4","0,0","-0,3",06:55,"5,0",14:59,36,"2,2","6,1",21:00,"8,2","818,7",22,"816,4",16,40,60,00:00,28,22:10
2015-01-07,2462,PUERTO DE NAVACERRADA,MADRID,1893,"3,3","0,0","-0,2",01:40,"6,8",12:20,01,"3,3","6,9",05:20,"8,2","822,8",24,"818,0",04,30,54,23:00,20,09:50
2015-01-08,2462,PUERTO DE NAVACERRADA,MADRID,1893,"2,9","0,0","0,3",18:40,"5,5",14:20,12,"3,1","12,5",16:40,"7,8","830,6",24,"822,8",00,51,68,18:40,31,14:10
2015-01-09,2462,PUERTO DE NAVACERRADA,MADRID,1893,"7,9","0,0","1,6",01:40,"14,2",11:30,15,"3,6","8,1",21:50,"8,3","833,0",19,"830,3",01,20,75,02:57,10,Varias
2015-01-10,2462,PUERTO DE NAVACERRADA,MADRID,1893,"9,0","0,0","2,4",23:00,"15,7",11:40,21,"1,9","7,5",03:30,"8,3","831,7",00,"822,8",24,16,42,Varias,6,Varias
2015-01-11,2462,PUERTO DE NAVACERRADA,MADRID,1893,"3,6","0,0","0,9",08:30,"6,4",12:30,12,"4,4","11,7",22:40,"5,9","823,7",21,"821,9",Varias,81,94,17:40,27,22:50
2015-01-12,2462,PUERTO DE NAVACERRADA,MADRID,1893,"4,1","0,0","0,3",Varias,"7,9",13:30,15,"6,4","15,6",04:50,"8,3","823,0",00,"818,5",24,66,92,07:40,29,00:00
2015-01-13,2462,PUERTO DE NAVACERRADA,MADRID,1893,"3,8","0,4","-0,1",23:20,"7,7",12:50,27,"4,7","13,1",11:50,"6,7","818,5",00,"815,7",15,62,100,23:50,42,04:20
2015-01-14,2462,PUERTO DE NAVACERRADA,MADRID,1893,"3,6","0,0","-0,2",Varias,"7,4",14:10,23,"3,6","13,9",21:10,"6,9","817,7",10,"814,4",24,74,100,Varias,43,11:00
